"id","user_id","name","icon","color","type"
"0b4d635e-c4e9-429d-885e-c227c392c82e","a7158a7c-8ce2-473b-afbc-761db6fd9682","Здоровье","fitness","#EF4444","expense"
"0ed411c6-3faa-4a3b-ae69-19770213621d","a7158a7c-8ce2-473b-afbc-761db6fd9682","Подарки","gift","#D946EF","both"
"6720a7ed-278e-4272-9d27-3a7f4c66157b","a7158a7c-8ce2-473b-afbc-761db6fd9682","Счета и ЖКХ","flash","#14B8A6","expense"
"72c8d513-66f3-4927-aa9f-d044cc4b5ce2","a7158a7c-8ce2-473b-afbc-761db6fd9682","Еда и Напитки","restaurant","#F59E0B","expense"
"8bf9c61e-7959-4a95-a979-ee09ad859090","a7158a7c-8ce2-473b-afbc-761db6fd9682","Развлечения","game-controller","#F97316","expense"
"a3bfc142-b9e7-44a7-bf14-f383ac3a7b58","a7158a7c-8ce2-473b-afbc-761db6fd9682","Инвестиции","trending-up","#8B5CF6","income"
"b8f35aec-77ed-4195-ae8a-02878ab02d45","a7158a7c-8ce2-473b-afbc-761db6fd9682","Образование","school","#0EA5E9","expense"
"c862c63a-dfb3-49b8-a08b-07b6f5fcec77","a7158a7c-8ce2-473b-afbc-761db6fd9682","Покупки","cart","#EC4899","expense"
"cabe4d80-1a3d-4b6b-bd10-b4ce482793b2","a7158a7c-8ce2-473b-afbc-761db6fd9682","Зарплата","cash","#10B981","income"
"dc39bd1e-3215-413f-81c5-b21dc4a29dfd","a7158a7c-8ce2-473b-afbc-761db6fd9682","Другое","ellipsis-horizontal","#6B7280","both"
"e30120f2-1964-48c5-bc7d-00b7be633831","a7158a7c-8ce2-473b-afbc-761db6fd9682","Фриланс","laptop","#6366F1","income"
"e77dd787-eb34-4ba7-88ec-e3566c1539f4","a7158a7c-8ce2-473b-afbc-761db6fd9682","Транспорт","car","#3B82F6","expense"
