id,user_id,type,amount,currency,category,note,date,recurring
a3f1e2d0-0101-4a1b-8c2d-e5f6a7b8c901,a7158a7c-8ce2-473b-afbc-761db6fd9682,income,150000.00,RUB,Salary,Январская зарплата,2026-01-10T09:00:00+03:00,true
a3f1e2d0-0102-4a1b-8c2d-e5f6a7b8c902,a7158a7c-8ce2-473b-afbc-761db6fd9682,income,45000.00,RUB,Freelance,Проект по дизайну,2026-01-20T14:30:00+03:00,false
a3f1e2d0-0103-4a1b-8c2d-e5f6a7b8c903,a7158a7c-8ce2-473b-afbc-761db6fd9682,expense,2500.00,RUB,Food & Drinks,Продукты в Перекрёстке,2026-01-02T19:15:00+03:00,false
a3f1e2d0-0104-4a1b-8c2d-e5f6a7b8c904,a7158a7c-8ce2-473b-afbc-761db6fd9682,expense,1800.00,RUB,Food & Drinks,Обед в кафе,2026-01-05T13:00:00+03:00,false
a3f1e2d0-0105-4a1b-8c2d-e5f6a7b8c905,a7158a7c-8ce2-473b-afbc-761db6fd9682,expense,3200.00,RUB,Food & Drinks,Продукты ВкусВилл,2026-01-09T18:45:00+03:00,false
a3f1e2d0-0106-4a1b-8c2d-e5f6a7b8c906,a7158a7c-8ce2-473b-afbc-761db6fd9682,expense,4500.00,RUB,Food & Drinks,Ужин с друзьями,2026-01-14T20:00:00+03:00,false
a3f1e2d0-0107-4a1b-8c2d-e5f6a7b8c907,a7158a7c-8ce2-473b-afbc-761db6fd9682,expense,1900.00,RUB,Food & Drinks,Продукты,2026-01-19T17:30:00+03:00,false
a3f1e2d0-0108-4a1b-8c2d-e5f6a7b8c908,a7158a7c-8ce2-473b-afbc-761db6fd9682,expense,2800.00,RUB,Food & Drinks,Продукты в Ленте,2026-01-24T19:00:00+03:00,false
a3f1e2d0-0109-4a1b-8c2d-e5f6a7b8c909,a7158a7c-8ce2-473b-afbc-761db6fd9682,expense,2100.00,RUB,Food & Drinks,Пицца и напитки,2026-01-28T21:00:00+03:00,false
a3f1e2d0-0110-4a1b-8c2d-e5f6a7b8c910,a7158a7c-8ce2-473b-afbc-761db6fd9682,expense,3500.00,RUB,Transport,Проездной на январь,2026-01-03T08:00:00+03:00,true
a3f1e2d0-0111-4a1b-8c2d-e5f6a7b8c911,a7158a7c-8ce2-473b-afbc-761db6fd9682,expense,450.00,RUB,Transport,Яндекс.Такси,2026-01-12T23:30:00+03:00,false
a3f1e2d0-0112-4a1b-8c2d-e5f6a7b8c912,a7158a7c-8ce2-473b-afbc-761db6fd9682,expense,780.00,RUB,Transport,Такси до аэропорта,2026-01-22T05:00:00+03:00,false
a3f1e2d0-0113-4a1b-8c2d-e5f6a7b8c913,a7158a7c-8ce2-473b-afbc-761db6fd9682,expense,6500.00,RUB,Bills & Utilities,Аренда квартиры (часть),2026-01-08T10:00:00+03:00,true
a3f1e2d0-0114-4a1b-8c2d-e5f6a7b8c914,a7158a7c-8ce2-473b-afbc-761db6fd9682,expense,2800.00,RUB,Bills & Utilities,Коммунальные услуги,2026-01-08T10:05:00+03:00,true
a3f1e2d0-0115-4a1b-8c2d-e5f6a7b8c915,a7158a7c-8ce2-473b-afbc-761db6fd9682,expense,1100.00,RUB,Bills & Utilities,Интернет и телефон,2026-01-08T10:10:00+03:00,true
